Generacion:4 | Hora:[19, 45, 17] | Puntuacion:0.7354000210762024
Generacion:5 | Hora:[20, 1, 50] | Puntuacion:0.803600013256073
Generacion:5 | Hora:[20, 20, 13] | Puntuacion:0.7293000221252441
Generacion:5 | Hora:[20, 32, 47] | Puntuacion:0.6129000186920166
Generacion:5 | Hora:[21, 0, 19] | Puntuacion:0.7856000065803528
Generacion:5 | Hora:[21, 0, 19] | Puntuacion:0
Generacion:5 | Hora:[21, 0, 19] | Puntuacion:0
Generacion:5 | Hora:[21, 0, 19] | Puntuacion:0
Generacion:5 | Hora:[21, 11, 34] | Puntuacion:0.7957000136375427
Generacion:5 | Hora:[21, 19, 22] | Puntuacion:0.741100013256073
Generacion:5 | Hora:[21, 25, 53] | Puntuacion:0.6583999991416931
Generacion:5 | Hora:[21, 38, 6] | Puntuacion:0.7409999966621399
Generacion:5 | Hora:[21, 43, 17] | Puntuacion:0.10000000149011612
Generacion:5 | Hora:[21, 54, 6] | Puntuacion:0.7347000241279602
Generacion:5 | Hora:[22, 2, 36] | Puntuacion:0.7192999720573425
Generacion:5 | Hora:[22, 20, 47] | Puntuacion:0.7386999726295471
Generacion:5 | Hora:[22, 32, 23] | Puntuacion:0.6859999895095825
Generacion:5 | Hora:[22, 46, 41] | Puntuacion:0.10000000149011612
Generacion:5 | Hora:[23, 18, 18] | Puntuacion:0.7867000102996826
Generacion:5 | Hora:[23, 45, 12] | Puntuacion:0.6527000069618225
Generacion:5 | Hora:[0, 30, 23] | Puntuacion:0.7630000114440918
Generacion:5 | Hora:[0, 33, 49] | Puntuacion:0.10000000149011612
Generacion:5 | Hora:[0, 45, 39] | Puntuacion:0.5986999869346619
Generacion:5 | Hora:[0, 45, 39] | Puntuacion:0
Generacion:5 | Hora:[0, 59, 24] | Puntuacion:0.7515000104904175
Generacion:5 | Hora:[1, 25, 17] | Puntuacion:0.7599999904632568
Generacion:5 | Hora:[1, 58, 19] | Puntuacion:0.7531999945640564
Generacion:5 | Hora:[2, 17, 35] | Puntuacion:0.7825999855995178
Generacion:5 | Hora:[2, 25, 48] | Puntuacion:0.754800021648407
Generacion:5 | Hora:[2, 30, 3] | Puntuacion:0.10000000149011612
Generacion:5 | Hora:[2, 35, 56] | Puntuacion:0.10000000149011612
Generacion:6 | Hora:[2, 48, 45] | Puntuacion:0.741100013256073
Generacion:6 | Hora:[2, 48, 45] | Puntuacion:0
Generacion:6 | Hora:[2, 56, 45] | Puntuacion:0.7663000226020813
Generacion:6 | Hora:[3, 4, 35] | Puntuacion:0.7476999759674072
Generacion:6 | Hora:[3, 15, 36] | Puntuacion:0.801800012588501
Generacion:6 | Hora:[3, 34, 24] | Puntuacion:0.8047000169754028
Generacion:6 | Hora:[3, 57, 59] | Puntuacion:0.7559000253677368
Generacion:6 | Hora:[4, 41, 28] | Puntuacion:0.7558000087738037
Generacion:6 | Hora:[4, 56, 36] | Puntuacion:0.7617999911308289
Generacion:6 | Hora:[5, 18, 30] | Puntuacion:0.7795000076293945
Generacion:6 | Hora:[5, 49, 34] | Puntuacion:0.7473999857902527
Generacion:6 | Hora:[6, 9, 5] | Puntuacion:0.7559999823570251
Generacion:6 | Hora:[6, 40, 11] | Puntuacion:0.7896999716758728
Generacion:6 | Hora:[7, 11, 22] | Puntuacion:0.7940000295639038
Generacion:6 | Hora:[7, 17, 57] | Puntuacion:0.7458000183105469
Generacion:6 | Hora:[7, 27, 33] | Puntuacion:0.656000018119812
Generacion:6 | Hora:[7, 55, 59] | Puntuacion:0.6796000003814697
Generacion:6 | Hora:[8, 10, 43] | Puntuacion:0.7703999876976013
Generacion:6 | Hora:[8, 37, 57] | Puntuacion:0.7616999745368958
Generacion:6 | Hora:[8, 48, 10] | Puntuacion:0.6366000175476074
Generacion:6 | Hora:[9, 5, 15] | Puntuacion:0.7583000063896179
Generacion:6 | Hora:[9, 34, 51] | Puntuacion:0.7598999738693237
Generacion:6 | Hora:[9, 48, 3] | Puntuacion:0.7700999975204468
Generacion:6 | Hora:[9, 55, 25] | Puntuacion:0.7286999821662903
Generacion:6 | Hora:[10, 15, 22] | Puntuacion:0.7612000107765198
Generacion:6 | Hora:[10, 31, 43] | Puntuacion:0.7287999987602234
Generacion:6 | Hora:[10, 43, 23] | Puntuacion:0.7706000208854675
Generacion:6 | Hora:[11, 3, 38] | Puntuacion:0.7782999873161316
Generacion:6 | Hora:[11, 3, 38] | Puntuacion:0
Generacion:6 | Hora:[11, 13, 30] | Puntuacion:0.7560999989509583
Generacion:7 | Hora:[11, 30, 5] | Puntuacion:0.7325000166893005
Generacion:7 | Hora:[12, 11, 21] | Puntuacion:0.8112000226974487
Generacion:7 | Hora:[12, 38, 59] | Puntuacion:0.7670000195503235
Generacion:7 | Hora:[12, 53, 6] | Puntuacion:0.7940999865531921
Generacion:7 | Hora:[13, 18, 12] | Puntuacion:0.7864999771118164
Generacion:7 | Hora:[13, 34, 34] | Puntuacion:0.7368999719619751
Generacion:7 | Hora:[13, 45, 8] | Puntuacion:0.8087999820709229
Generacion:7 | Hora:[13, 54, 42] | Puntuacion:0.10000000149011612
Generacion:7 | Hora:[14, 28, 52] | Puntuacion:0.7490000128746033
Generacion:7 | Hora:[15, 6, 44] | Puntuacion:0.791700005531311
Generacion:7 | Hora:[15, 17, 4] | Puntuacion:0.7466999888420105
Generacion:7 | Hora:[16, 10, 0] | Puntuacion:0.8079000115394592
Generacion:7 | Hora:[16, 32, 59] | Puntuacion:0.7603999972343445
Generacion:7 | Hora:[16, 51, 49] | Puntuacion:0.7516999840736389
Generacion:7 | Hora:[17, 30, 5] | Puntuacion:0.8251000046730042
Generacion:7 | Hora:[17, 44, 13] | Puntuacion:0.8220999836921692
Generacion:7 | Hora:[17, 52, 57] | Puntuacion:0.7626000046730042
Generacion:7 | Hora:[18, 19, 8] | Puntuacion:0.7910000085830688
Generacion:7 | Hora:[18, 32, 42] | Puntuacion:0.795799970626831
Generacion:7 | Hora:[18, 42, 40] | Puntuacion:0.7656000256538391
Generacion:7 | Hora:[18, 52, 7] | Puntuacion:0.7885000109672546
Generacion:7 | Hora:[19, 5, 10] | Puntuacion:0.10000000149011612
Generacion:7 | Hora:[19, 27, 39] | Puntuacion:0.7404999732971191
Generacion:7 | Hora:[19, 49, 6] | Puntuacion:0.7750999927520752
Generacion:7 | Hora:[20, 13, 0] | Puntuacion:0.7799000144004822
Generacion:7 | Hora:[20, 13, 0] | Puntuacion:0
Generacion:7 | Hora:[20, 19, 9] | Puntuacion:0.10000000149011612
Generacion:7 | Hora:[20, 25, 39] | Puntuacion:0.10000000149011612
Generacion:7 | Hora:[20, 32, 36] | Puntuacion:0.7458999752998352
Generacion:7 | Hora:[20, 55, 56] | Puntuacion:0.7645999789237976
Generacion:8 | Hora:[21, 48, 59] | Puntuacion:0.800599992275238
Generacion:8 | Hora:[22, 10, 41] | Puntuacion:0.8011000156402588
Generacion:8 | Hora:[22, 27, 12] | Puntuacion:0.8098999857902527
Generacion:8 | Hora:[23, 18, 13] | Puntuacion:0.7980999946594238
Generacion:8 | Hora:[23, 41, 41] | Puntuacion:0.7760999798774719
Generacion:8 | Hora:[23, 59, 12] | Puntuacion:0.7728000283241272
Generacion:8 | Hora:[0, 12, 55] | Puntuacion:0.10000000149011612
Generacion:8 | Hora:[0, 23, 38] | Puntuacion:0.7979000210762024
Generacion:8 | Hora:[0, 49, 59] | Puntuacion:0.7922999858856201
Generacion:8 | Hora:[1, 4, 22] | Puntuacion:0.7943999767303467
Generacion:8 | Hora:[1, 25, 37] | Puntuacion:0.7742999792098999
Generacion:8 | Hora:[1, 49, 27] | Puntuacion:0.7166000008583069
