Generacion:5 | Hora:[22, 40, 44] | Puntuacion:0.3889000117778778
Generacion:5 | Hora:[22, 48, 49] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[23, 31, 36] | Puntuacion:0.39969998598098755
Generacion:5 | Hora:[0, 17, 38] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[0, 51, 23] | Puntuacion:0.3301999866962433
Generacion:5 | Hora:[1, 9, 5] | Puntuacion:0.382999986410141
Generacion:5 | Hora:[1, 18, 27] | Puntuacion:0.39800000190734863
Generacion:5 | Hora:[1, 18, 27] | Puntuacion:0
Generacion:5 | Hora:[1, 18, 37] | Puntuacion:0
Generacion:5 | Hora:[1, 18, 47] | Puntuacion:0
Generacion:5 | Hora:[1, 18, 58] | Puntuacion:0
Generacion:5 | Hora:[1, 39, 23] | Puntuacion:0.3984000086784363
Generacion:5 | Hora:[1, 42, 48] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[1, 51, 39] | Puntuacion:0.013700000010430813
Generacion:5 | Hora:[2, 3, 46] | Puntuacion:0.007499999832361937
Generacion:5 | Hora:[2, 30, 54] | Puntuacion:0.3573000133037567
Generacion:5 | Hora:[2, 50, 29] | Puntuacion:0.009999999776482582
Generacion:5 | Hora:[2, 59, 51] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[3, 3, 27] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[3, 12, 31] | Puntuacion:0.16249999403953552
Generacion:6 | Hora:[3, 33, 25] | Puntuacion:0.4034999907016754
Generacion:6 | Hora:[4, 0, 4] | Puntuacion:0.18850000202655792
Generacion:6 | Hora:[4, 15, 14] | Puntuacion:0.4345000088214874
Generacion:6 | Hora:[4, 24, 9] | Puntuacion:0.37790000438690186
Generacion:6 | Hora:[4, 41, 41] | Puntuacion:0.3273000121116638
Generacion:6 | Hora:[4, 59, 3] | Puntuacion:0.24650000035762787
Generacion:6 | Hora:[5, 14, 28] | Puntuacion:0.4657000005245209
Generacion:6 | Hora:[5, 18, 53] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[5, 25, 42] | Puntuacion:0.010300000198185444
Generacion:6 | Hora:[5, 43, 50] | Puntuacion:0.0406000018119812
Generacion:6 | Hora:[5, 51, 21] | Puntuacion:0.35179999470710754
Generacion:6 | Hora:[6, 14, 8] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[7, 17, 5] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[7, 17, 5] | Puntuacion:0
Generacion:6 | Hora:[7, 34, 0] | Puntuacion:0.4325000047683716
Generacion:6 | Hora:[8, 40, 40] | Puntuacion:0.4494999945163727
Generacion:6 | Hora:[9, 35, 14] | Puntuacion:0.35760000348091125
Generacion:6 | Hora:[10, 33, 3] | Puntuacion:0.23029999434947968
Generacion:6 | Hora:[10, 33, 13] | Puntuacion:0
Generacion:6 | Hora:[10, 48, 5] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[11, 10, 48] | Puntuacion:0.4041999876499176
Generacion:6 | Hora:[11, 52, 58] | Puntuacion:0.40689998865127563
Generacion:6 | Hora:[12, 18, 23] | Puntuacion:0.03310000151395798
Generacion:6 | Hora:[12, 22, 47] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[12, 44, 10] | Puntuacion:0.4569999873638153
Generacion:6 | Hora:[13, 31, 12] | Puntuacion:0.009999999776482582
Generacion:6 | Hora:[13, 43, 4] | Puntuacion:0.2971999943256378
Generacion:6 | Hora:[14, 3, 22] | Puntuacion:0.01080000028014183
Generacion:7 | Hora:[14, 3, 32] | Puntuacion:0
Generacion:7 | Hora:[14, 3, 43] | Puntuacion:0
Generacion:7 | Hora:[14, 21, 47] | Puntuacion:0.3564000129699707
Generacion:7 | Hora:[14, 44, 43] | Puntuacion:0.4146000146865845
Generacion:7 | Hora:[15, 0, 7] | Puntuacion:0.36660000681877136
Generacion:7 | Hora:[15, 0, 7] | Puntuacion:0
Generacion:7 | Hora:[15, 23, 52] | Puntuacion:0.3528999984264374
Generacion:7 | Hora:[15, 41, 51] | Puntuacion:0.34459999203681946
Generacion:7 | Hora:[15, 56, 15] | Puntuacion:0.4246000051498413
Generacion:7 | Hora:[16, 49, 11] | Puntuacion:0.2777000069618225
Generacion:7 | Hora:[17, 13, 37] | Puntuacion:0.27709999680519104
Generacion:7 | Hora:[17, 46, 22] | Puntuacion:0.396699994802475
